key,value,date
Hot Boy Bobby Shmurda,76,01/03/15
Hot Boy Bobby Shmurda,78,01/10/15
Hot Boy Bobby Shmurda,76,01/17/15
Hot Boy Bobby Shmurda,72,01/24/15
Hot Boy Bobby Shmurda,67,01/31/15
Hot Boy Bobby Shmurda,0,02/07/15
Hot Boy Bobby Shmurda,0,02/14/15
Hot Boy Bobby Shmurda,0,02/21/15
Hot Boy Bobby Shmurda,0,02/28/15
Hot Boy Bobby Shmurda,0,03/07/15
Hot Boy Bobby Shmurda,0,03/14/15
Hot Boy Bobby Shmurda,0,03/21/15
Hot Boy Bobby Shmurda,0,03/28/15
Hot Boy Bobby Shmurda,0,04/04/15
Hot Boy Bobby Shmurda,0,04/11/15
Hot Boy Bobby Shmurda,0,04/18/15
Hot Boy Bobby Shmurda,0,04/25/15
Hot Boy Bobby Shmurda,0,05/02/15
Hot Boy Bobby Shmurda,0,05/09/15
Hot Boy Bobby Shmurda,0,05/16/15
Hot Boy Bobby Shmurda,0,05/23/15
Hot Boy Bobby Shmurda,0,05/30/15
Hot Boy Bobby Shmurda,0,06/06/15
Hot Boy Bobby Shmurda,0,06/13/15
Hot Boy Bobby Shmurda,0,06/20/15
Hot Boy Bobby Shmurda,0,06/27/15
Hot Boy Bobby Shmurda,0,07/04/15
Hot Boy Bobby Shmurda,0,07/11/15
Hot Boy Bobby Shmurda,0,07/18/15
Hot Boy Bobby Shmurda,0,07/25/15
Hot Boy Bobby Shmurda,0,08/01/15
Hot Boy Bobby Shmurda,0,08/08/15
Hot Boy Bobby Shmurda,0,08/15/15
Hot Boy Bobby Shmurda,0,08/22/15
Hot Boy Bobby Shmurda,0,08/29/15
Hot Boy Bobby Shmurda,0,09/05/15
Hot Boy Bobby Shmurda,0,09/12/15
Hot Boy Bobby Shmurda,0,09/19/15
Hot Boy Bobby Shmurda,0,09/26/15
Hot Boy Bobby Shmurda,0,10/03/15
Hot Boy Bobby Shmurda,0,10/10/15
Hot Boy Bobby Shmurda,0,10/17/15
Hot Boy Bobby Shmurda,0,10/24/15
Hot Boy Bobby Shmurda,0,10/31/15
Hot Boy Bobby Shmurda,0,11/07/15
Hot Boy Bobby Shmurda,0,11/14/15
Hot Boy Bobby Shmurda,0,11/21/15
Hot Boy Bobby Shmurda,0,11/28/15
Hot Boy Bobby Shmurda,0,12/05/15
Hot Boy Bobby Shmurda,0,12/12/15
Hot Boy Bobby Shmurda,0,12/19/15
Hot Boy Bobby Shmurda,0,12/26/15
Break Up With Him Old Dominion,0,01/03/15
Break Up With Him Old Dominion,0,01/10/15
Break Up With Him Old Dominion,0,01/17/15
Break Up With Him Old Dominion,0,01/24/15
Break Up With Him Old Dominion,0,01/31/15
Break Up With Him Old Dominion,0,02/07/15
Break Up With Him Old Dominion,0,02/14/15
Break Up With Him Old Dominion,0,02/21/15
Break Up With Him Old Dominion,0,02/28/15
Break Up With Him Old Dominion,0,03/07/15
Break Up With Him Old Dominion,0,03/14/15
Break Up With Him Old Dominion,0,03/21/15
Break Up With Him Old Dominion,0,03/28/15
Break Up With Him Old Dominion,0,04/04/15
Break Up With Him Old Dominion,0,04/11/15
Break Up With Him Old Dominion,0,04/18/15
